LocationID,Borough,Zone,service_zone,StartDate,EndDate
1,EWR,Newark Airport,EWR,12-03-2022,14-04-2022
2,Queens,Jamaica Bay,Boro Zone,13-03-2022,15-04-2022
3,Bronx,Allerton/Pelham Gardens,Boro Zone,14-03-2022,16-04-2022
4,Manhattan,Alphabet City,Yellow Zone,15-03-2022,17-04-2022
5,Staten Island,Arden Heights,Boro Zone,16-03-2022,18-04-2022
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,17-03-2022,19-04-2022
7,Queens,Astoria,Boro Zone,18-03-2022,20-04-2022
8,Queens,Astoria Park,Boro Zone,19-03-2022,21-04-2022
9,Queens,Auburndale,Boro Zone,20-03-2022,22-04-2022
10,Queens,Baisley Park,Boro Zone,21-03-2022,23-04-2022
11,Brooklyn,Bath Beach,Boro Zone,22-03-2022,24-04-2022
12,Manhattan,Battery Park,Yellow Zone,23-03-2022,26-03-2022
13,Manhattan,Battery Park City,Yellow Zone,24-03-2022,27-03-2022
14,Brooklyn,Bay Ridge,Boro Zone,25-04-2022,28-04-2022
15,Queens,Bay Terrace/Fort Totten,Boro Zone,26-04-2022,29-04-2022
16,Queens,Bayside,Boro Zone,27-04-2022,30-04-2022
17,Brooklyn,Bedford,Boro Zone,28-04-2022,01-05-2022
18,Bronx,Bedford Park,Boro Zone,29-04-2022,02-05-2022
19,Queens,Bellerose,Boro Zone,30-04-2022,03-05-2022
20,Bronx,Belmont,Boro Zone,01-05-2022,04-05-2022
21,Brooklyn,Bensonhurst East,Boro Zone,02-05-2022,05-05-2022
22,Brooklyn,Bensonhurst West,Boro Zone,03-05-2022,06-05-2022
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,04-05-2022,07-05-2022
24,Manhattan,Bloomingdale,Yellow Zone,05-05-2022,08-05-2022
25,Brooklyn,Boerum Hill,Boro Zone,06-05-2022,09-05-2022
26,Brooklyn,Borough Park,Boro Zone,07-05-2022,05-08-2022
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,08-05-2022,06-08-2022
28,Queens,Briarwood/Jamaica Hills,Boro Zone,09-05-2022,07-08-2022
29,Brooklyn,Brighton Beach,Boro Zone,10-05-2022,08-08-2022
30,Queens,Broad Channel,Boro Zone,11-05-2022,09-08-2022
31,Bronx,Bronx Park,Boro Zone,12-05-2022,10-08-2022
32,Bronx,Bronxdale,Boro Zone,13-01-2022,13-04-2022
33,Brooklyn,Brooklyn Heights,Boro Zone,14-01-2022,14-04-2022
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,15-01-2022,15-04-2022
35,Brooklyn,Brownsville,Boro Zone,16-01-2022,16-04-2022
36,Brooklyn,Bushwick North,Boro Zone,17-01-2022,17-04-2022
37,Brooklyn,Bushwick South,Boro Zone,18-01-2022,18-04-2022
38,Queens,Cambria Heights,Boro Zone,19-01-2022,19-04-2022
39,Brooklyn,Canarsie,Boro Zone,20-01-2022,20-04-2022
40,Brooklyn,Carroll Gardens,Boro Zone,21-01-2022,21-04-2022
41,Manhattan,Central Harlem,Boro Zone,22-01-2022,22-04-2022
42,Manhattan,Central Harlem North,Boro Zone,23-01-2022,23-04-2022
